created_at,referencia_credito,datos_garantia.fecha_desembolso,datos_garantia.codigo_producto
2023-10-31 16:32:45.337,98362298,2023-10-31 12:55:49,489
2023-10-31 16:32:46.382,99787327,2023-10-31 12:55:49,489
2023-10-31 16:32:47.301,92635682,2023-10-31 12:55:50,489
2023-10-31 16:32:48.125,24975421,2023-10-31 12:55:50,489
2023-10-31 16:32:49.060,38227173,2023-10-31 12:55:50,489
2023-10-31 16:32:50.082,19186594,2023-10-31 12:55:50,489
2023-10-31 16:32:51.058,53955383,2023-10-31 12:55:50,489
2023-10-31 16:32:52.062,57115726,2023-10-31 12:55:50,489
2023-10-31 16:32:52.988,29979917,2023-10-31 12:55:50,489
2023-10-31 16:32:53.962,85884138,2023-10-31 12:55:50,489
2023-10-31 16:32:54.808,17958443,2023-10-31 12:55:50,489
2023-10-31 16:32:55.886,76644991,2023-10-31 12:55:50,489
2023-10-31 16:32:57.007,48473955,2023-10-31 12:55:50,489
2023-10-31 16:32:57.910,13438925,2023-10-31 12:55:50,489
2023-10-31 16:32:58.934,39392522,2023-10-31 12:55:50,489
2023-10-31 16:33:00.147,97546989,2023-10-31 12:55:50,489
2023-10-31 16:33:01.046,55434376,2023-10-31 12:55:50,489
2023-10-31 16:33:02.137,11116252,2023-10-31 12:55:50,489
2023-10-31 16:33:03.143,54947365,2023-10-31 12:55:50,489
2023-10-31 16:33:03.889,34582237,2023-10-31 12:55:51,489
2023-10-31 16:33:04.761,45115417,2023-10-31 12:55:51,489
2023-10-31 16:33:05.746,39666562,2023-10-31 12:55:51,489
2023-10-31 16:33:06.895,96216888,2023-10-31 12:55:51,489
2023-10-31 16:33:07.856,75588224,2023-10-31 12:55:51,489
2023-10-31 16:33:08.849,12756868,2023-10-31 12:55:51,489
2023-10-31 16:33:09.792,93543353,2023-10-31 12:55:51,489
2023-10-31 16:33:10.742,17163857,2023-10-31 12:55:51,489
2023-10-31 16:33:11.902,71977168,2023-10-31 12:55:51,489
2023-10-31 16:33:12.897,18218168,2023-10-31 12:55:51,489
2023-10-31 16:33:16.393,57498629,2023-10-31 12:55:51,489
2023-10-31 16:33:17.394,64258324,2023-10-31 12:55:51,489
2023-10-31 16:33:18.495,11953876,2023-10-31 12:55:51,489
2023-10-31 16:33:19.401,37393372,2023-10-31 12:55:51,489
2023-10-31 16:33:20.264,28144269,2023-10-31 12:55:51,489
2023-10-31 16:33:21.073,62766978,2023-10-31 12:55:51,489
2023-10-31 16:33:22.024,89162451,2023-10-31 12:55:51,489
2023-10-31 16:33:22.887,14431913,2023-10-31 12:55:51,489
2023-10-31 16:33:23.879,85422789,2023-10-31 12:55:51,489
2023-10-31 16:33:24.801,49171757,2023-10-31 12:55:52,489
2023-10-31 16:33:25.648,38788487,2023-10-31 12:55:52,489
2023-10-31 16:33:26.416,11848622,2023-10-31 12:55:52,489
2023-10-31 16:33:27.470,54397615,2023-10-31 12:55:52,489
2023-10-31 16:33:28.293,71119783,2023-10-31 12:55:52,489
2023-10-31 16:33:29.466,14284558,2023-10-31 12:55:52,489
2023-10-31 16:33:30.317,43422955,2023-10-31 12:55:52,489
2023-10-31 16:33:31.401,38335164,2023-10-31 12:55:52,489
2023-10-31 16:33:32.296,49714536,2023-10-31 12:55:52,489
2023-10-31 16:33:33.165,65152729,2023-10-31 12:55:52,489
2023-10-31 16:33:34.119,13958412,2023-10-31 12:55:52,489
2023-10-31 16:33:34.988,38539946,2023-10-31 12:55:52,489
2023-10-31 16:33:36.066,78838514,2023-10-31 12:55:52,489
2023-10-31 16:33:37.082,56794633,2023-10-31 12:55:52,489
2023-10-31 16:33:38.062,11252228,2023-10-31 12:55:52,489
2023-10-31 16:33:38.939,52416741,2023-10-31 12:55:52,489
2023-10-31 16:33:39.958,73283377,2023-10-31 12:55:52,489
2023-10-31 16:33:40.899,72285142,2023-10-31 12:55:52,489
2023-10-31 16:33:41.778,36364412,2023-10-31 12:55:52,489
2023-10-31 16:33:42.611,74115656,2023-10-31 12:55:52,489
2023-10-31 16:33:43.731,36969118,2023-10-31 12:55:53,489
2023-10-31 16:33:44.742,31424516,2023-10-31 12:55:53,489
2023-10-31 16:33:45.672,78581475,2023-10-31 12:55:53,489
2023-10-31 16:33:46.550,55721697,2023-10-31 12:55:53,489
2023-10-31 16:33:47.690,48419686,2023-10-31 12:55:53,489
2023-10-31 16:33:48.801,28646294,2023-10-31 12:55:53,489
2023-10-31 16:33:49.736,34639272,2023-10-31 12:55:53,489
2023-10-31 16:33:50.670,54715611,2023-10-31 12:55:53,489
2023-10-31 16:33:51.490,55336864,2023-10-31 12:55:53,489
2023-10-31 16:33:52.529,42753352,2023-10-31 12:55:53,489
2023-10-31 16:33:53.664,29814655,2023-10-31 12:55:53,489
2023-10-31 16:33:54.478,92436589,2023-10-31 12:55:53,489
2023-10-31 16:33:55.595,21119653,2023-10-31 12:55:53,489
2023-10-31 16:33:56.584,19184811,2023-10-31 12:55:53,489
