Referencia credito,FGA,Agosto,fact Septiembre,Dif,Comentatario,fecha-corte
41231756,"9,520",-9074, - ,446,Dif YA facturada y pagada FGA  Agosto,2023-08-31
85686991,"9,163",-9095, - ,68,Dif YA facturada y pagada FGA  Agosto,2023-08-31
45232429,"15,470",-10386, - ,"5,084",Dif YA facturada y pagada FGA  Agosto,2023-08-31
32724348,"19,635",-19406, - ,229,Dif YA facturada y pagada FGA  Agosto,2023-08-31
54513611,"19,040",-18183, - ,857,Dif YA facturada y pagada FGA  Agosto,2023-08-31
86745849,"17,493",-15338, - ,"2,155",Dif YA facturada y pagada FGA  Agosto,2023-08-31
43395268,"23,324",-18076, - ,"5,248",Dif YA facturada y pagada FGA  Agosto,2023-08-31
36376348,"18,326",-17215, - ,"1,111",Dif YA facturada y pagada FGA  Agosto,2023-08-31
91395866,"19,992",-19799, - ,193,Dif YA facturada y pagada FGA  Agosto,2023-08-31
57433467,"10,472",-9789, - ,683,Dif YA facturada y pagada FGA  Agosto,2023-08-31
59696362,"21,658",-14956, - ,"6,702",Dif YA facturada y pagada FGA  Agosto,2023-08-31
93691444,"21,420",-16138, - ,"5,282",Dif YA facturada y pagada FGA  Agosto,2023-08-31
76883593,"19,516",-14948, - ,"4,568",Dif YA facturada y pagada FGA  Agosto,2023-08-31
81123846,"19,635",-17232, - ,"2,403",Dif YA facturada y pagada FGA  Agosto,2023-08-31
68737993,"13,090",-11244, - ,"1,846",Dif YA facturada y pagada FGA  Agosto,2023-08-31
72447241,"22,881",-21848, - ,"1,033",Dif YA facturada y pagada FGA  Agosto,2023-08-31
28422655,"19,635",-14474, - ,"5,161",Dif YA facturada y pagada FGA  Agosto,2023-08-31
54384284,"9,163",-8065, - ,"1,098",Dif YA facturada y pagada FGA  Agosto,2023-08-31
74989697,"17,850",-8925, - ,"8,925",Dif YA facturada y pagada FGA  Agosto,2023-08-31
11288319,"18,207",-15298, - ,"2,909",Dif YA facturada y pagada FGA  Agosto,2023-08-31
24485363,"17,493",-8746, - ,"8,747",Dif YA facturada y pagada FGA  Agosto,2023-08-31
91896773,"19,992",-18458, - ,"1,534",Dif YA facturada y pagada FGA  Agosto,2023-08-31
96193316,"17,850",-16908, - ,942,Dif YA facturada y pagada FGA  Agosto,2023-08-31
83769395,"17,850",-17832, - ,18,Dif YA facturada y pagada FGA  Agosto,2023-08-31
12216399,"19,040",-18863, - ,177,Dif YA facturada y pagada FGA  Agosto,2023-08-31
33569318,"18,393",-16703, - ,"1,690",Dif YA facturada y pagada FGA  Agosto,2023-08-31
98963788,"23,324",-17955, - ,"5,369",Dif YA facturada y pagada FGA  Agosto,2023-08-31
22761179,"20,825",-19348, - ,"1,477",Dif YA facturada y pagada FGA  Agosto,2023-08-31
19554519,"18,326",-17473, - ,853,Dif YA facturada y pagada FGA  Agosto,2023-08-31
43789986,"19,159",-16849, - ,"2,310",Dif YA facturada y pagada FGA  Agosto,2023-08-31
77695126,"19,040",-17555, - ,"1,485",Dif YA facturada y pagada FGA  Agosto,2023-08-31
38822399,"19,516",-14448, - ,"5,068",Dif YA facturada y pagada FGA  Agosto,2023-08-31
44314792,"19,992",-18975, - ,"1,017",Dif YA facturada y pagada FGA  Agosto,2023-08-31
29526867,"17,850",-17325, - ,525,Dif YA facturada y pagada FGA  Agosto,2023-08-31
96138648,"19,992",-19731, - ,261,Dif YA facturada y pagada FGA  Agosto,2023-08-31
79618393,"9,520",-9071, - ,449,Dif YA facturada y pagada FGA  Agosto,2023-08-31
57964921,"16,660",-16469, - ,191,Dif YA facturada y pagada FGA  Agosto,2023-08-31
17694453,"20,468",-19747, - ,721,Dif YA facturada y pagada FGA  Agosto,2023-08-31
42511882,"17,850",-17412, - ,438,Dif YA facturada y pagada FGA  Agosto,2023-08-31
57423867,"9,044",-8679, - ,365,Dif YA facturada y pagada FGA  Agosto,2023-08-31
61563682,"17,493",-13093, - ,"4,400",Dif YA facturada y pagada FGA  Agosto,2023-08-31
49763629,"18,564",-17963, - ,601,Dif YA facturada y pagada FGA  Agosto,2023-08-31
43237684,"23,324",-22950, - ,374,Dif YA facturada y pagada FGA  Agosto,2023-08-31
97759847,"16,203",-15203, - ,"1,000",Dif YA facturada y pagada FGA  Agosto,2023-08-31
49668928,"22,610",-11305, - ,"11,305",Dif YA facturada y pagada FGA  Agosto,2023-08-31
86164968,"20,944",-15076, - ,"5,868",Dif YA facturada y pagada FGA  Agosto,2023-08-31
78591236,"18,064",-16413, - ,"1,651",Dif YA facturada y pagada FGA  Agosto,2023-08-31
93414576,"16,422",-16272, - ,150,Dif YA facturada y pagada FGA  Agosto,2023-08-31
87877886,"14,280",-13262, - ,"1,018",Dif YA facturada y pagada FGA  Agosto,2023-08-31
73844724,"16,660",-16214, - ,446,Dif YA facturada y pagada FGA  Agosto,2023-08-31
82533238,"21,420",-19656, - ,"1,764",Dif YA facturada y pagada FGA  Agosto,2023-08-31
21389254,"15,173",-14558, - ,615,Dif YA facturada y pagada FGA  Agosto,2023-08-31
73283451,"16,660",-15727, - ,933,Dif YA facturada y pagada FGA  Agosto,2023-08-31
67921739,"20,468",-18778, - ,"1,690",Dif YA facturada y pagada FGA  Agosto,2023-08-31
51816565,"23,205",-21060, - ,"2,145",Dif YA facturada y pagada FGA  Agosto,2023-08-31
37645916,"14,994",-12536, - ,"2,458",Dif YA facturada y pagada FGA  Agosto,2023-08-31
49217177,"18,207",-9103, - ,"9,104",Dif YA facturada y pagada FGA  Agosto,2023-08-31
23664853,"17,850",-16339, - ,"1,511",Dif YA facturada y pagada FGA  Agosto,2023-08-31
34392857,"18,393",-18290, - ,103,Dif YA facturada y pagada FGA  Agosto,2023-08-31
24192793,"20,230",-19877, - ,353,Dif YA facturada y pagada FGA  Agosto,2023-08-31
51774239,"18,326",-18226, - ,100,Dif YA facturada y pagada FGA  Agosto,2023-08-31
36746844,"15,708",-15652, - ,56,Dif YA facturada y pagada FGA  Agosto,2023-08-31
33483621,"16,422",-13773, - ,"2,649",Dif YA facturada y pagada FGA  Agosto,2023-08-31
88831722,"20,944",-17708, - ,"3,236",Dif YA facturada y pagada FGA  Agosto,2023-08-31
49838284,"16,422",-9467, - ,"6,955",Dif YA facturada y pagada FGA  Agosto,2023-08-31
17751629,"14,518",-12011, - ,"2,507",Dif YA facturada y pagada FGA  Agosto,2023-08-31
48959633,"19,040",-18864, - ,176,Dif YA facturada y pagada FGA  Agosto,2023-08-31
73216511,"19,635",-17486, - ,"2,149",Dif YA facturada y pagada FGA  Agosto,2023-08-31
39455165,"16,660",-13964, - ,"2,696",Dif YA facturada y pagada FGA  Agosto,2023-08-31
87728161,"9,401",-5660, - ,"3,741",Dif YA facturada y pagada FGA  Agosto,2023-08-31
93821248,"15,765",-14610, - ,"1,155",Dif YA facturada y pagada FGA  Agosto,2023-08-31
33261932,"19,040",-18691, - ,349,Dif YA facturada y pagada FGA  Agosto,2023-08-31
26354788,"20,825",-19019, - ,"1,806",Dif YA facturada y pagada FGA  Agosto,2023-08-31
24346813,"18,326",-17974, - ,352,Dif YA facturada y pagada FGA  Agosto,2023-08-31
11331175,"20,825",-20607, - ,218,Dif YA facturada y pagada FGA  Agosto,2023-08-31
42237681,"20,230",-20128, - ,102,Dif YA facturada y pagada FGA  Agosto,2023-08-31
25218331,"19,040",-17943, - ,"1,097",Dif YA facturada y pagada FGA  Agosto,2023-08-31
41488176,"16,660",-14473, - ,"2,187",Dif YA facturada y pagada FGA  Agosto,2023-08-31
58863212,"17,850",-17340, - ,510,Dif YA facturada y pagada FGA  Agosto,2023-08-31
36714327,"20,944",-20349, - ,595,Dif YA facturada y pagada FGA  Agosto,2023-08-31
63537239,"17,850",-14579, - ,"3,271",Dif YA facturada y pagada FGA  Agosto,2023-08-31
64889236,"17,850",-16414, - ,"1,436",Dif YA facturada y pagada FGA  Agosto,2023-08-31
18927621,"20,944",-20764, - ,180,Dif YA facturada y pagada FGA  Agosto,2023-08-31
72919495,"17,493",-15350, - ,"2,143",Dif YA facturada y pagada FGA  Agosto,2023-08-31
45266965,"20,825",-20609, - ,216,Dif YA facturada y pagada FGA  Agosto,2023-08-31
86931147,"21,420",-10710, - ,"10,710",Dif YA facturada y pagada FGA  Agosto,2023-08-31
71335917,"24,871",-23653, - ,"1,218",Dif YA facturada y pagada FGA  Agosto,2023-08-31
12675791,"22,848",-11424, - ,"11,424",Dif YA facturada y pagada FGA  Agosto,2023-08-31
29486192,"20,706",-20083, - ,623,Dif YA facturada y pagada FGA  Agosto,2023-08-31
16676329,"20,825",5071,"-20,825","5,071",Dif YA facturada y pagada FGA  Agosto,2023-08-31
29861597,"13,576",-13237, - ,339,Dif YA facturada y pagada FGA  Agosto,2023-08-31
86437878,"22,848",-17814, - ,"5,034",Dif YA facturada y pagada FGA  Agosto,2023-08-31
82232295,"17,850",-15901, - ,"1,949",Dif YA facturada y pagada FGA  Agosto,2023-08-31
44861455,"20,349",-19696, - ,653,Dif YA facturada y pagada FGA  Agosto,2023-08-31
82628925,"20,230",-10115, - ,"10,115",Dif YA facturada y pagada FGA  Agosto,2023-08-31
26754961,"17,374",-13887, - ,"3,487",Dif YA facturada y pagada FGA  Agosto,2023-08-31
72294121,"22,253",-19179, - ,"3,074",Dif YA facturada y pagada FGA  Agosto,2023-08-31
34863323,"21,020",-20157, - ,863,Dif YA facturada y pagada FGA  Agosto,2023-08-31
37518629,"20,825",-10412, - ,"10,413",Dif YA facturada y pagada FGA  Agosto,2023-08-31
21947636,"17,736",-16314, - ,"1,422",Dif YA facturada y pagada FGA  Agosto,2023-08-31
