pagare,fecha_corte,valor_comision_reportado
21661217,2023-10-31,16560
89693673,2023-10-31,6000
74258547,2023-10-31,10725
25184622,2023-10-31,14025
44299756,2023-10-31,11224
45272241,2023-10-31,13200
31671866,2023-10-31,13524
95636992,2023-10-31,7038
19716681,2023-10-31,7636
33862979,2023-10-31,12000
49124866,2023-10-31,11180
77386491,2023-10-31,6992
33788718,2023-10-31,16100
56288697,2023-10-31,10200
65611752,2023-10-31,15456
88877321,2023-10-31,12144
22682272,2023-10-31,18000
28895866,2023-10-31,11132
97438954,2023-10-31,14076
85726716,2023-10-31,15456
25817878,2023-10-31,16500
48997719,2023-10-31,17100
56528168,2023-10-31,13064
29557327,2023-10-31,14000
83364244,2023-10-31,14200
27185954,2023-10-31,17020
72223579,2023-10-31,12000
62848444,2023-10-31,12696
17821569,2023-10-31,8000
24874489,2023-10-31,16000
49613465,2023-10-31,14352
63786862,2023-10-31,9200
13713571,2023-10-31,13800
47337179,2023-10-31,16928
98143796,2023-10-31,14260
73139929,2023-10-31,14352
87179929,2023-10-31,10465
11785269,2023-10-31,38124
76879946,2023-10-31,11592
99816754,2023-10-31,19228
23398523,2023-10-31,15000
72473283,2023-10-31,8096
43385927,2023-10-31,13248
85796357,2023-10-31,11040
18488458,2023-10-31,14720
76681288,2023-10-31,12285
91987654,2023-10-31,5005
37285316,2023-10-31,14628
37616567,2023-10-31,12512
53115366,2023-10-31,17100
18913669,2023-10-31,15180
